name,country_of_citizenship,position,foot,height_in_cm,current_club_domestic_competition_id,current_club_name,market_value_in_eur,yellow_cards,red_cards,goals,assists,minutes_played,age
Kylian Mbappé,France,Attack,right,178.0,FR1,Paris Saint-Germain,180000000.0,5,0,36,7,3329,26
Vinicius Junior,Brazil,Attack,right,176.0,ES1,Real Madrid,180000000.0,11,0,24,11,3084,24
Erling Haaland,Norway,Attack,left,195.0,GB1,Manchester City,180000000.0,1,0,38,6,3745,24
Jude Bellingham,England,Midfield,right,186.0,ES1,Real Madrid,180000000.0,9,1,23,13,3644,21
Phil Foden,England,Attack,left,171.0,GB1,Manchester City,150000000.0,3,0,27,12,4276,24
Bukayo Saka,England,Attack,left,178.0,GB1,Arsenal FC,140000000.0,4,0,20,14,3865,23
Jamal Musiala,Germany,Midfield,right,184.0,L1,Bayern Munich,130000000.0,3,0,12,8,2860,21
Florian Wirtz,Germany,Midfield,right,177.0,L1,Bayer 04 Leverkusen,130000000.0,7,0,18,20,3475,21
Rodri,Spain,Midfield,right,191.0,GB1,Manchester City,130000000.0,10,1,9,14,4327,28
Federico Valverde,Uruguay,Midfield,right,182.0,ES1,Real Madrid,120000000.0,2,0,3,8,4280,26
Lamine Yamal,Spain,Attack,left,178.0,ES1,FC Barcelona,120000000.0,6,0,7,10,2957,17
Declan Rice,England,Midfield,right,188.0,GB1,Arsenal FC,120000000.0,7,0,7,10,4274,26
Lautaro Martínez,Argentina,Attack,right,174.0,IT1,Inter Milan,110000000.0,8,0,27,7,3461,27
Martin Ødegaard,Norway,Midfield,left,178.0,GB1,Arsenal FC,110000000.0,2,0,11,11,4053,26
Rodrygo,Brazil,Attack,right,174.0,ES1,Real Madrid,110000000.0,2,0,17,9,3707,24
Aurélien Tchouaméni,France,Midfield,right,188.0,ES1,Real Madrid,100000000.0,10,0,3,1,2809,25
Victor Osimhen,Nigeria,Attack,right,186.0,IT1,SSC Napoli,100000000.0,7,0,17,4,2476,26
Harry Kane,England,Attack,right,188.0,L1,Bayern Munich,100000000.0,3,0,44,12,3934,31
Eduardo Camavinga,France,Midfield,left,182.0,ES1,Real Madrid,100000000.0,13,0,0,4,2824,22
Julián Álvarez,Argentina,Attack,right,170.0,GB1,Manchester City,90000000.0,5,0,19,13,3480,25
Rafael Leão,Portugal,Attack,right,188.0,IT1,AC Milan,90000000.0,8,0,15,14,3548,25
Gavi,Spain,Midfield,right,173.0,ES1,FC Barcelona,90000000.0,8,0,2,1,1172,20
Bruno Guimarães,Brazil,Midfield,right,182.0,GB1,Newcastle United,85000000.0,14,0,7,10,4360,27
Pedri,Spain,Midfield,right,174.0,ES1,FC Barcelona,80000000.0,3,0,4,5,2027,22
Xavi Simons,Netherlands,Midfield,right,179.0,L1,RB Leipzig,80000000.0,12,0,10,15,3468,21
Cole Palmer,England,Midfield,left,189.0,GB1,Manchester City,80000000.0,8,0,27,15,3734,22
William Saliba,France,Defender,right,192.0,GB1,Arsenal FC,80000000.0,6,0,2,1,4502,23
Rúben Dias,Portugal,Defender,right,187.0,GB1,Manchester City,80000000.0,3,0,0,0,3818,27
Khvicha Kvaratskhelia,Georgia,Attack,both,183.0,IT1,SSC Napoli,80000000.0,8,0,11,9,3594,23
Nicolò Barella,Italy,Midfield,right,175.0,IT1,Inter Milan,80000000.0,10,0,2,7,3502,27
Dominik Szoboszlai,Hungary,Midfield,right,187.0,GB1,Liverpool FC,75000000.0,1,0,7,4,2704,24
Luis Díaz,Colombia,Attack,right,180.0,GB1,Liverpool FC,75000000.0,4,0,13,5,3615,28
Josko Gvardiol,Croatia,Defender,left,185.0,GB1,Manchester City,75000000.0,5,0,5,3,3479,23
Moisés Caicedo,Ecuador,Midfield,right,178.0,GB1,Chelsea FC,75000000.0,15,0,1,4,3899,23
Enzo Fernández,Argentina,Midfield,right,178.0,GB1,Chelsea FC,75000000.0,10,0,7,3,3093,24
Alexis Mac Allister,Argentina,Midfield,right,176.0,GB1,Liverpool FC,75000000.0,10,1,7,7,3501,26
Alexander Isak,Sweden,Attack,right,192.0,GB1,Newcastle United,75000000.0,1,0,25,2,2973,25
Bruno Fernandes,Portugal,Midfield,right,179.0,GB1,Manchester United,70000000.0,12,0,15,13,4285,30
Darwin Núñez,Uruguay,Attack,right,187.0,GB1,Liverpool FC,70000000.0,10,0,18,13,3026,25
